fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$754.3 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.4 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.4 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.4 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.5 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.5 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.5 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.6 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.6 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.6 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.7 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.6 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
bsc: pools watched: 4, reserves read: 4, BNB=$754.6 -> bsc_flow.jsonl (lp-gated: 1525 known)
base: pools watched: 0, reserves read: 0, ETH=$2517.9 -> base_flow.jsonl (lp-gated: 401 known)
