fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 0, reserves read: 0, ETH=$2484.5 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 428 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.2 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.2 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.7 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.2 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.0 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.2 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.0 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.2 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.2 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.0 -> bsc_flow.jsonl (lp-gated: 1626 known)
base: pools watched: 0, reserves read: 0, ETH=$2485.1 -> base_flow.jsonl (lp-gated: 429 known)
