fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$695.2 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.1 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.2 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.5 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.5 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.5 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.8 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.9 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.9 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.9 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
bsc: pools watched: 7, reserves read: 7, BNB=$695.7 -> bsc_flow.jsonl (lp-gated: 1011 known)
base: pools watched: 10, reserves read: 10, ETH=$2400.6 -> base_flow.jsonl (lp-gated: 279 known)
