fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 1, reserves read: 1, ETH=$2458.9 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.9 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2458.9 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$720.9 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.1 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 323 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 1, reserves read: 1, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 323 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.0 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.1 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
bsc: pools watched: 1, reserves read: 1, BNB=$721.2 -> bsc_flow.jsonl (lp-gated: 1279 known)
base: pools watched: 2, reserves read: 2, ETH=$2459.4 -> base_flow.jsonl (lp-gated: 324 known)
