tracking 29 hits

name                   chain    status  exit      FR  peak   now        ret
ISEEM / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     +0%
LIFE / SOL             solana   closed  timestop  F     1.0x   1.0x     +0%
HeeHaw / WETH          eth      closed  trail     F     1.0x   0.0x   -100%
MONDO / ETH 0.3%       base     closed  timestop  F     1.0x   0.9x    -12%
ISEEM / ETH 0.3%       base     closed  timestop  F     1.2x   1.1x    +16%
PREORDER / ETH 0.3%    base     closed  timestop  F     1.1x   1.1x     +5%
TDSU / ETH 0.3%        base     closed  timestop  F     1.1x   1.1x     +8%
WEcast / ETH 0.3%      base     closed  timestop  F     1.2x   1.2x    +17%
polar / ETH 0.3%       base     closed  timestop  F     1.0x   1.0x     -2%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
CAT / WBNB             bsc      closed  timestop  F     1.0x   0.0x     +0%
polar / ETH 0.3%       base     closed  timestop  F     1.2x   1.2x    +20%
DISCEXPORT / ETH 0.3   base     closed  timestop  F     1.2x   1.2x    +20%
ROCK / ETH 0.3%        base     closed  timestop  F     1.0x   0.9x     -7%
我的女友景甜 / USDT          bsc      closed  timestop  F     1.0x   1.0x     +0%
SKYAI / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
奶牛猫 / WBNB             bsc      closed  timestop  F     1.0x   0.0x     +0%
SKYAI / WBNB           bsc      closed  trail     F     1.0x   0.0x   -100%
BSC / WBNB             bsc      closed  timestop  F     1.0x   0.8x    -17%
牛来­ / USDC             base     closed  timestop  F     1.0x   1.0x     +0%
ROVER / SOL            solana   closed  timestop  F     1.2x   1.2x    +24%
ROVER / SOL            solana   closed  trail     T   123192.9x 122797.2x +26137%
PHON / SOL             solana   closed  timestop  F     1.2x   0.0x     +7%
CHUBBY / WETH          base     open    None      T   3310.0x 3310.0x +82763%
牛来2.0 / USDT           bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
指甲刀 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
HET / ETH 0.3%         base     closed  timestop  F     1.0x   1.0x     +0%
MONE / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
Minhad / SOL           solana   closed  timestop  F     1.0x   1.0x    -17%
INVIDIA / SOL          solana   closed  timestop  F     1.0x   1.0x     -1%
Lakeusa / SOL          solana   closed  timestop  F     1.0x   1.0x     +0%
GTA6 / SOL             solana   closed  timestop  F     1.0x   0.1x     +0%
abstract / ETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
CHILL / WBNB           bsc      closed  timestop  F     1.0x   1.0x     +0%
STRAPPY / WETH         eth      closed  trail     F     1.2x   0.0x   -100%
牛来 / USDC              base     closed  timestop  F     1.0x   1.0x     +1%
白羊座 / WBNB             bsc      closed  timestop  F     1.2x   1.2x    +24%
MIMIKYU / WETH 0.3%    base     closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDC              base     closed  timestop  F     1.0x   1.0x     -0%
牛来 / USDT              bsc      closed  timestop  F   2377.7x 2377.7x   +358%
PEPKING / WETH         base     closed  trail     T   2549.4x  61.8x  +1558%
杀零狗 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
杀零狗 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
LIFE / SOL             solana   closed  timestop  F     1.0x   1.0x     +0%
MACHI / SOL            solana   closed  timestop  F     1.0x   1.0x     -0%
BALD / SOL             solana   closed  timestop  F     1.1x   1.1x     +0%
FlashCharge / USDT     bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
我的男友孙宇晨 / USDT         bsc      closed  timestop  F     1.0x   1.0x     +0%
VRD / WETH             eth      closed  trail     F     1.0x   0.0x   -100%
GUNICORN / WETH        eth      closed  trail     F     1.0x   0.0x   -100%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
GARFI / WETH           base     open    None      T   3561.8x 3561.8x +89058%
Agentmuxer / WETH      base     closed  timestop  F     1.0x   0.0x     +1%
巴泰 / WBNB              bsc      closed  timestop  F     1.0x   0.0x     +0%
CZ444 / USDT           bsc      closed  timestop  F     1.0x   0.1x     +0%
绊倒体 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
CHILL / WBNB           bsc      closed  timestop  F     1.0x   1.0x     +0%
1KTO100M / WETH        base     open    None      T   4543.9x 4543.9x +113611%
豹拉 / USDC              base     closed  timestop  F     1.0x   1.0x     -1%
CBV / WBNB             bsc      closed  timestop  F     1.0x   0.7x    -28%
UNIFART / WBNB         bsc      closed  timestop  F     1.0x   1.0x     +0%
杀零狗 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
ANTHROPIC / WETH       base     open    None      T   4892.5x 4892.5x +122325%
牛牪犇 / WBNB             bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
BULLCOIN / WETH        base     closed  timestop  F     1.0x   0.0x     +1%
UNIFART / WBNB         bsc      closed  timestop  F     1.0x   0.0x     +0%
BULLBRAIN / WBNB       bsc      closed  timestop  F     1.0x   1.0x     +0%
wroon100 / WETH        eth      closed  trail     F     1.1x   0.0x   -100%
RIZO / ETH             eth      closed  timestop  F     1.0x   1.0x     +0%
牛来坞 / USDT             bsc      closed  timestop  F     1.0x   1.0x     +0%
牛来 / USDT              bsc      closed  timestop  F     1.0x   1.0x     +0%
MEOW / WETH            base     open    None      T   20938.5x 20938.5x +523476%
WEBULL / WETH          base     closed  timestop  F     1.0x   0.0x     +1%
SPACEX / WETH          base     open    None      T   2440.8x 2440.8x +61033%
Steve / SOL            solana   closed  timestop  F     1.0x   1.0x     +0%
火币财富 / WBNB            bsc      closed  timestop  F     1.0x   1.0x     +0%
双子座幸💸 / WBNB           bsc      closed  timestop  F     1.0x   1.0x     +0%
金九 / WBNB              bsc      closed  timestop  F     1.0x   0.0x     +0%
我的男友孙宇晨 / USDT         bsc      closed  timestop  F     1.0x   1.0x     +0%
A / WBNB               bsc      closed  trail     F     1.0x   0.0x   -100%
Chuck / SOL            solana   closed  timestop  F     1.0x   1.0x     -0%
牛来2.0 / USDT           bsc      closed  timestop  F     1.0x   1.0x     +0%
我的孙宇晨男友 / USDT         bsc      closed  timestop  F     1.0x   1.0x     +0%
PStack / ETH 0.05%     base     closed  timestop  F     1.0x   1.0x     +0%
金融 / WBNB              bsc      closed  timestop  F    14.9x  14.9x   +833%
BOUGHT / SOL           solana   closed  timestop  F     1.3x   1.3x    +35%
KINO / ETH 1%          base     closed  timestop  F     1.1x   1.0x     +6%
