fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 5, reserves read: 5, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 45 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 47 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 47 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 47 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 224 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 48 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2428.9 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$686.4 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2428.9 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$686.5 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2428.9 -> base_flow.jsonl (lp-gated: 49 known)
bsc: pools watched: 7, reserves read: 7, BNB=$686.4 -> bsc_flow.jsonl (lp-gated: 228 known)
base: pools watched: 6, reserves read: 6, ETH=$2428.9 -> base_flow.jsonl (lp-gated: 49 known)
loop done (bsc,base): 79 cycles, 0 errors, 19.0 min
