fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$753.2 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.2 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.2 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.2 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.2 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.3 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.4 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.4 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.1 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.4 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2513.9 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.5 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.6 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.6 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.6 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.6 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.6 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.6 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.7 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.7 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.7 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.7 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
bsc: pools watched: 4, reserves read: 4, BNB=$753.7 -> bsc_flow.jsonl (lp-gated: 1523 known)
base: pools watched: 0, reserves read: 0, ETH=$2514.4 -> base_flow.jsonl (lp-gated: 400 known)
loop done (bsc,base): 76 cycles, 0 errors, 19.0 min
