fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1248 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1249 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1249 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1249 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1249 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1249 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
bsc: pools watched: 4, reserves read: 4, BNB=$719.8 -> bsc_flow.jsonl (lp-gated: 1249 known)
base: pools watched: 0, reserves read: 0, ETH=$2454.8 -> base_flow.jsonl (lp-gated: 313 known)
loop done (bsc,base): 126 cycles, 0 errors, 19.0 min
